🎬 YT-Hoover WebUI Starting...
========================================
🔑 API Key: ✅ Configured
🤖 Analyzer: ✅ Initialized
🛠️  Debug mode: False
🌐 Starting server...
 * Serving Flask app 'app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://169.254.0.21:5000
Press CTRL+C to quit
127.0.0.1 - - [10/Jun/2025 02:37:09] "POST /api/analyze HTTP/1.1" 200 -
10.161.110.1 - - [10/Jun/2025 02:37:36] "HEAD / HTTP/1.1" 200 -
10.161.110.1 - - [10/Jun/2025 02:37:36] "GET / HTTP/1.1" 200 -
10.161.110.1 - - [10/Jun/2025 02:38:27] "GET / HTTP/1.1" 200 -
10.161.110.1 - - [10/Jun/2025 02:38:27] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
10.161.110.1 - - [10/Jun/2025 02:38:27] "GET /apple-touch-icon.png HTTP/1.1" 404 -
10.161.110.1 - - [10/Jun/2025 02:38:27] "GET / HTTP/1.1" 200 -
10.161.110.1 - - [10/Jun/2025 02:38:27] "GET /favicon.ico HTTP/1.1" 404 -
10.161.110.1 - - [10/Jun/2025 02:38:28] "GET /apple-touch-icon.png HTTP/1.1" 404 -
10.161.110.1 - - [10/Jun/2025 02:38:28] "GET /favicon.ico HTTP/1.1" 404 -
10.161.110.1 - - [10/Jun/2025 02:38:34] "GET /setup HTTP/1.1" 404 -
10.161.110.1 - - [10/Jun/2025 02:38:35] "GET / HTTP/1.1" 200 -
10.161.110.1 - - [10/Jun/2025 02:38:35] "GET /apple-touch-icon.png HTTP/1.1" 404 -
10.161.110.1 - - [10/Jun/2025 02:38:35] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
10.161.110.1 - - [10/Jun/2025 02:38:35] "GET /favicon.ico HTTP/1.1" 404 -
10.161.110.1 - - [10/Jun/2025 02:38:35] "GET /apple-touch-icon.png HTTP/1.1" 404 -
10.161.110.1 - - [10/Jun/2025 02:38:35] "GET /favicon.ico HTTP/1.1" 404 -
